Team1,Team1Players,Team1Prospects,Team1Picks,Team1Cash,Team2,Team2Players,Team2Prospects,Team2Picks,Team2Cash,Date,
Dallas,Victor Hedman,,,,Chicago,"Troy Stecher, Tom Wilson",,"CHI 1st 2022, EDM 1st 2022",,11/14/2020,
Dallas,"Jacob Markstrom, Roman Polak",,,,Toronto,,,"TOR 1st 2021, TOR 2nd 2022",,11/15/2020,
Dallas,Ryan Suter,,,,Carolina,,,"CAR 1st 2022, CAR 2nd 2022",,11/18/2020,
Vancouver,,,FLA 4th 2021,,Toronto,Aaron Dell,,,,11/27/2020,
Dallas,Shea Weber,,,,Chicago,,,"CHI 2nd 2022, CHI 1st 2023, CHI 2nd 2023",,11/28/2020,
New Jersey,Alexandar Georgiev,,,,Chicago,,,"FLA 2nd 2019, CAR 1st 2020",,11/29/2020,
LosAngeles,,,DAL 1st 2022,3,Anaheim,,,ANA 1st 2019,,11/29/2020,
Calgary,,,"CGY 2nd 2019, EDM 2nd 2019",,LosAngeles,,,NYR 1st 2020,,11/29/2020,
Florida,,,,2.75,Colorado,,,"COL 3rd 2019, FLA 3rd 2019",,11/29/2020,
Washington,,,,2.25,Colorado,,,"TOR 3rd 2019, COL 4th 2019",,11/29/2020,
Ottawa,,,OTT 3rd 2019,,Chicago,,,"EDM 3rd 2020, CHI 3rd 2022",,11/29/2020,
New Jersey,,,CBJ 3rd 2020,,Ottawa,,,"OTT 4th 2019, TB 4th 2019",,11/29/2020,
Tampa Bay,,,TB 4th 2021,,Phoenix,,,NJ 4th 2019,,11/29/2020,
Dallas,"Ben Bishop, Ryan O'Reilly ",,,,Anaheim,"Jonathan Quick, Eric Staal",,"DAL 1st 2022, ANA 1st 2021, ANA 1 2023, LA 2nd 2021",,11/30/2020,
Dallas,Eric Staal,,,,Vancouver,,,VAN 2nd 2022,,11/30/2020,
Toronto,Sergei Bobrovsky,,,,Rangers,Martin Jones,,TOR 4th 2020,,12/13/2020,
San Jose,"Sean Monahan, Jake Debrusk",,,,Rangers,"Nicklas Backstrom, Andreas Anthanasiou",,,,12/13/2020,
Dallas,Brent Seabrook,,,,Florida,,,FLA 2nd 2023,,12/13/2020,
Dallas,,,TOR 1st 2021,,Rangers,,,NYR 1st 2022,,12/13/2020,
Dallas,,,LA 2nd 2021,,LosAngeles,,,LA 2nd 2022,,12/13/2020,
Edmonton,"Tyler Seguin, Nikita Zaitsev",,TOR 3rd 2022,,Toronto,"Tomas Hertl, Shayne Gostisbehere",,TOR 2nd 2023,,12/13/2020,
Edmonton,,,"EDM 1st 2023, DAL 2nd 2022",,Dallas,Tom Wilson,,,,12/13/2020,
Carolina,"Claude Giroux, Matt Grzelcyk",,,1,Florida,"Max Pacioretty, Brian Dumoulin",,,,12/14/2020,
Ottawa,Ben Chariot,,,,Edmonton,Shayne Gostisbehere,,EDM 2nd 2022,,12/16/2020,
